Family	Genus	Species
Rosaceae	Acaena Mutis ex L.	Acaena agnipila Gand.
Rosaceae	Acaena Mutis ex L.	Acaena alpina Poepp.
Rosaceae	Acaena Mutis ex L.	Acaena alpina Poepp. ex Walp.
Rosaceae	Acaena Mutis ex L.	Acaena anserinifolia (J.R.Forst. & G.Forst.) Druce
Rosaceae	Acaena Mutis ex L.	Acaena antarctica Hook.fil.
Rosaceae	Acaena Mutis ex L.	Acaena aquatica L.
Rosaceae	Acaena Mutis ex L.	Acaena argentea Bertero ex Steud.
Rosaceae	Acaena Mutis ex L.	Acaena argentea Ruiz & Pav.
Rosaceae	Acaena Mutis ex L.	Acaena asthenoglochin Bitter
Rosaceae	Acaena Mutis ex L.	Acaena berteriana Bernh.
Rosaceae	Acaena Mutis ex L.	Acaena berteroana Bernh.
Rosaceae	Acaena Mutis ex L.	Acaena berteroana Bernh. ex Steud.
Rosaceae	Acaena Mutis ex L.	Acaena boliviana Gand.
Rosaceae	Acaena Mutis ex L.	Acaena buchananii Hook.fil.
Rosaceae	Acaena Mutis ex L.	Acaena caesiiglauca (Bitter) Bergmans
Rosaceae	Acaena Mutis ex L.	Acaena caespitosa Gilli
Rosaceae	Acaena Mutis ex L.	Acaena caespitosa Gillies ex Hook. & Arn.
Rosaceae	Acaena Mutis ex L.	Acaena confertissima Bitter
Rosaceae	Acaena Mutis ex L.	Acaena craspedotricha Bitter
Rosaceae	Acaena Mutis ex L.	Acaena cylindristachya Ruiz & Pav.
Rosaceae	Acaena Mutis ex L.	Acaena decumbens Menzies
Rosaceae	Acaena Mutis ex L.	Acaena denudata Reiche
Rosaceae	Acaena Mutis ex L.	Acaena dimorphoglochin Bitter
Rosaceae	Acaena Mutis ex L.	Acaena distichophylla Bitter
Rosaceae	Acaena Mutis ex L.	Acaena dolichanthera Bitter
Rosaceae	Acaena Mutis ex L.	Acaena dumicola B.H.Macmill.
Rosaceae	Acaena Mutis ex L.	Acaena dumulosa Gand.
Rosaceae	Acaena Mutis ex L.	Acaena echinata Nees
Rosaceae	Acaena Mutis ex L.	Acaena elongata L.
Rosaceae	Acaena Mutis ex L.	Acaena emittens B.H.Macmill.
Rosaceae	Acaena Mutis ex L.	Acaena eupatoria Schltdl.
Rosaceae	Acaena Mutis ex L.	Acaena exigua A.Gray
Rosaceae	Acaena Mutis ex L.	Acaena fissistipula Bitter
Rosaceae	Acaena Mutis ex L.	Acaena frondosibracteata Bitter
Rosaceae	Acaena Mutis ex L.	Acaena fuscescens Bitter
Rosaceae	Acaena Mutis ex L.	Acaena glabra Buchanan
Rosaceae	Acaena Mutis ex L.	Acaena huttonii R.Br.bis
Rosaceae	Acaena Mutis ex L.	Acaena inermis Hook.fil.
Rosaceae	Acaena Mutis ex L.	Acaena insularis Citerne
Rosaceae	Acaena Mutis ex L.	Acaena integerrima Gillies ex Hook.
Rosaceae	Acaena Mutis ex L.	Acaena integerrima Gillies, 1833
Rosaceae	Acaena Mutis ex L.	Acaena interrupta Larrañaga
Rosaceae	Acaena Mutis ex L.	Acaena juvenca B.H.Macmill.
Rosaceae	Acaena Mutis ex L.	Acaena latebrosa Aiton
Rosaceae	Acaena Mutis ex L.	Acaena latifrons Bitter
Rosaceae	Acaena Mutis ex L.	Acaena laxa Bitter
Rosaceae	Acaena Mutis ex L.	Acaena laxiflora Willd. ex Steud.
Rosaceae	Acaena Mutis ex L.	Acaena leptacantha Phil.
Rosaceae	Acaena Mutis ex L.	Acaena longiscapa Bitter
Rosaceae	Acaena Mutis ex L.	Acaena longistigma Bitter
Rosaceae	Acaena Mutis ex L.	Acaena lucida (Aiton) Vahl
Rosaceae	Acaena Mutis ex L.	Acaena macrocephala Poepp.
Rosaceae	Acaena Mutis ex L.	Acaena magellanica (Lam.) Vahl
Rosaceae	Acaena Mutis ex L.	Acaena masafuerana Bitter
Rosaceae	Acaena Mutis ex L.	Acaena microphylla Hook.fil.
Rosaceae	Acaena Mutis ex L.	Acaena minor (Hook.fil.) Allan
Rosaceae	Acaena Mutis ex L.	Acaena montana Hook.fil.
Rosaceae	Acaena Mutis ex L.	Acaena myriophylla Lindl.
Rosaceae	Acaena Mutis ex L.	Acaena niederleinii Hieron. ex Hosseus
Rosaceae	Acaena Mutis ex L.	Acaena novae-zelandiae Kirk
Rosaceae	Acaena Mutis ex L.	Acaena ovalifolia Ruiz & Pav.
Rosaceae	Acaena Mutis ex L.	Acaena ovalifolia Vahl
Rosaceae	Acaena Mutis ex L.	Acaena pallida (Kirk) J.W.Dawson
Rosaceae	Acaena Mutis ex L.	Acaena patagonica A.E.Martic.
Rosaceae	Acaena Mutis ex L.	Acaena peterioides Kunth
Rosaceae	Acaena Mutis ex L.	Acaena pinnatifida Ruiz & Pav.
Rosaceae	Acaena Mutis ex L.	Acaena platyacantha Speg.
Rosaceae	Acaena Mutis ex L.	Acaena pluribullata Bitter
Rosaceae	Acaena Mutis ex L.	Acaena poeppigiana Clos
Rosaceae	Acaena Mutis ex L.	Acaena poeppigiana Gay
Rosaceae	Acaena Mutis ex L.	Acaena poterioides Willd. ex Steud.
Rosaceae	Acaena Mutis ex L.	Acaena pringlei Gand.
Rosaceae	Acaena Mutis ex L.	Acaena profundeincisa (Bitter) B.H.Macmill.
Rosaceae	Acaena Mutis ex L.	Acaena pterocarpa Dusén
Rosaceae	Acaena Mutis ex L.	Acaena pumila Vahl
Rosaceae	Acaena Mutis ex L.	Acaena purpureistigma Bitter
Rosaceae	Acaena Mutis ex L.	Acaena rorida B.H.Macmill.
Rosaceae	Acaena Mutis ex L.	Acaena saccaticupula Bitter
Rosaceae	Acaena Mutis ex L.	Acaena sarmentosa (Thouars) Carmich.
Rosaceae	Acaena Mutis ex L.	Acaena sericea J.Jacq.
Rosaceae	Acaena Mutis ex L.	Acaena spec Linnaeus, 1771
Rosaceae	Acaena Mutis ex L.	Acaena splendens Hook. & Arn.
Rosaceae	Acaena Mutis ex L.	Acaena stangii Christoph.
Rosaceae	Acaena Mutis ex L.	Acaena stellaris Meyen
Rosaceae	Acaena Mutis ex L.	Acaena stricta Griseb.
Rosaceae	Acaena Mutis ex L.	Acaena suaveolens A.Gray
Rosaceae	Acaena Mutis ex L.	Acaena subincisa Wedd.
Rosaceae	Acaena Mutis ex L.	Acaena subnitens Kalela
Rosaceae	Acaena Mutis ex L.	Acaena subtussericascens Bitter
Rosaceae	Acaena Mutis ex L.	Acaena tehuelcha Speg.
Rosaceae	Acaena Mutis ex L.	Acaena tenera Albov
Rosaceae	Acaena Mutis ex L.	Acaena tesca B.H.Macmill.
Rosaceae	Acaena Mutis ex L.	Acaena torilicarpa Bitter
Rosaceae	Acaena Mutis ex L.	Acaena tridactyla C.Presl
Rosaceae	Acaena Mutis ex L.	Acaena trifida Ruiz & Pav.
Rosaceae	Acaena Mutis ex L.	Acaena trifida Torr.
Rosaceae	Acaena Mutis ex L.	Acaena valdiviana Phil.
Rosaceae	Acaena Mutis ex L.	Acaena ×anserinacea Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×anserovina Orchard
Rosaceae	Acaena Mutis ex L.	Acaena ×brunnescens Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×cunctatrix Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×dieckii Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×eglochidiata Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×gracillima Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×langei-axelii Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×lividella Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×metaphyllidion Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×obscureolivacea Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×ovina A.Cunn.
Rosaceae	Acaena Mutis ex L.	Acaena ×pallens Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×pusilliviridis Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×rubescentiglauca Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×subglabra Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×subovalifolia Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×tardans Bitter
Rosaceae	Acaena Mutis ex L.	Acaena ×vinosa Bitter
Rosaceae	Acaena Mutis ex L.	Ancistrum acorna DC.
Rosaceae	Acaena Mutis ex L.	Ancistrum decumbens G.Forst.
Rosaceae	Acaena Mutis ex L.	Ancistrum latebrosum Aiton
Rosaceae	Acaena Mutis ex L.	Ancistrum latebrosum Gaertn.
Rosaceae	Adenileima Rchb., 1841	
Rosaceae	Adenilemma Hassk.	
Rosaceae	Adenostoma Hook. & Arn.	Adenostoma brevifolium Nutt. ex Torr. & A.Gray
Rosaceae	Adenostoma Hook. & Arn.	Adenostoma californicum Gand.
Rosaceae	Adenostoma Hook. & Arn.	Adenostoma fasciculatum Hook. & Arn.
Rosaceae	Adenostoma Hook. & Arn.	Adenostoma laxum Gand.
Rosaceae	Adenostoma Hook. & Arn.	Adenostoma sparsifolium Torr.
Rosaceae	Agrimonia L.	Agrimonia adscendens Andrz. ex Trautv.
Rosaceae	Agrimonia L.	Agrimonia aitchisonii Sch
Rosaceae	Agrimonia L.	Agrimonia aitchisonii Schönb.-Tem.
Rosaceae	Agrimonia L.	Agrimonia biatzovsskyi Fleischm.
Rosaceae	Agrimonia L.	Agrimonia bracteata E.Mey. ex C.A.Mey.
Rosaceae	Agrimonia L.	Agrimonia coreana Nakai
Rosaceae	Agrimonia L.	Agrimonia dahurica Wallr.
Rosaceae	Agrimonia L.	Agrimonia eupatoria Hook.f.
Rosaceae	Agrimonia L.	Agrimonia eupatoria Kitam.
Rosaceae	Agrimonia L.	Agrimonia eupatoria Krylov
Rosaceae	Agrimonia L.	Agrimonia eupatoria L.
Rosaceae	Agrimonia L.	Agrimonia eupatoria Michx.
Rosaceae	Agrimonia L.	Agrimonia eupatoria Wight
Rosaceae	Agrimonia L.	Agrimonia eupatoria x procera
Rosaceae	Agrimonia L.	Agrimonia eupatoria × procera
Rosaceae	Agrimonia L.	Agrimonia eupatoroides Gueldenst. ex Ledeb.
Rosaceae	Agrimonia L.	Agrimonia falsa E.H.L.Krause
Rosaceae	Agrimonia L.	Agrimonia gigantensis Gentry
Rosaceae	Agrimonia L.	Agrimonia glandulosa Kuntze
Rosaceae	Agrimonia L.	Agrimonia glandulosa Murb.
Rosaceae	Agrimonia L.	Agrimonia goctectiana Andrz. ex C.A.Mey.
Rosaceae	Agrimonia L.	Agrimonia gorovoii Rumjantsev
Rosaceae	Agrimonia L.	Agrimonia grandis Andrz. ex C.A.Mey.
Rosaceae	Agrimonia L.	Agrimonia gryposepala Wallr.
Rosaceae	Agrimonia L.	Agrimonia hirsuta Bong. ex C.A.Mey.
Rosaceae	Agrimonia L.	Agrimonia incisa Torr. & A.Gray
Rosaceae	Agrimonia L.	Agrimonia inermis Pers.
Rosaceae	Agrimonia L.	Agrimonia leucantha Kunze
Rosaceae	Agrimonia L.	Agrimonia major T.Uspensk.
Rosaceae	Agrimonia L.	Agrimonia microcarpa Wallr.
Rosaceae	Agrimonia L.	Agrimonia nipponica Koidz.
Rosaceae	Agrimonia L.	Agrimonia noguchii Seriz.
Rosaceae	Agrimonia L.	Agrimonia octandra Lucé
Rosaceae	Agrimonia L.	Agrimonia odorata Gouan
Rosaceae	Agrimonia L.	Agrimonia odorata Ledeb.
Rosaceae	Agrimonia L.	Agrimonia odorata Wallr.
Rosaceae	Agrimonia L.	Agrimonia orbiculata Formánek, 1896
Rosaceae	Agrimonia L.	Agrimonia parviflora Aiton
Rosaceae	Agrimonia L.	Agrimonia parviflora Sol.
Rosaceae	Agrimonia L.	Agrimonia parviflora Spreng.
Rosaceae	Agrimonia L.	Agrimonia pilosa Aitch.
Rosaceae	Agrimonia L.	Agrimonia pilosa Ledeb.
Rosaceae	Agrimonia L.	Agrimonia pringlei Rydb.
Rosaceae	Agrimonia L.	Agrimonia procera Wallr.
Rosaceae	Agrimonia L.	Agrimonia pubescens Wallr.
Rosaceae	Agrimonia L.	Agrimonia pumila Muhl. ex Raf.
Rosaceae	Agrimonia L.	Agrimonia repens Eckl. & Zeyh.
Rosaceae	Agrimonia L.	Agrimonia repens L.
Rosaceae	Agrimonia L.	Agrimonia repens Mutel
Rosaceae	Agrimonia L.	Agrimonia reptans Baumg.
Rosaceae	Agrimonia L.	Agrimonia rostellata Wallr.
Rosaceae	Agrimonia L.	Agrimonia sessiliflora Dumort.
Rosaceae	Agrimonia L.	Agrimonia spec Linnaeus, 1753
Rosaceae	Agrimonia L.	Agrimonia stipularis Dumort.
Rosaceae	Agrimonia L.	Agrimonia striata Michx.
Rosaceae	Agrimonia L.	Agrimonia suaveolens C.A.Mey.
Rosaceae	Agrimonia L.	Agrimonia sylvatica Raf.
Rosaceae	Agrimonia L.	Agrimonia trifoliata W.Young
Rosaceae	Agrimonia L.	Agrimonia villosa Cham. & Schltdl.
Rosaceae	Agrimonia L.	Agrimonia zeylandica Moon
Rosaceae	Agrimonia L.	Agrimonia zeylandica Moon ex Hook.f.
Rosaceae	Agrimonia L.	Agrimonia zeylanica Moon ex Hook.fil.
Rosaceae	Agrimonia L.	Agrimonia ×lundstroemii Fedde
Rosaceae	Agrimonia L.	Agrimonia ×nipponopilosa Murata
Rosaceae	Agrimonia L.	Agrimonia ×schultzibroeskensis Abrom. ex Asch. & Graebn.
Rosaceae	Agrimonia L.	Agrimonia ×wirtgenii Asch. & Graebn.
Rosaceae	Alchemilla L.	Alchemilla abchasica Buser
Rosaceae	Alchemilla L.	Alchemilla abramovii Czkalov
Rosaceae	Alchemilla L.	Alchemilla abyssinica Fresen.
Rosaceae	Alchemilla L.	Alchemilla achtarowii Pawl.
Rosaceae	Alchemilla L.	Alchemilla acrodon S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla acropsila Rothm.
Rosaceae	Alchemilla L.	Alchemilla acrostegia Plocek
Rosaceae	Alchemilla L.	Alchemilla acuminatidens (Buser) Buser
Rosaceae	Alchemilla L.	Alchemilla acutata Buser
Rosaceae	Alchemilla L.	Alchemilla acutidens Buser
Rosaceae	Alchemilla L.	Alchemilla acutiformis S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla adelodictya Juz.
Rosaceae	Alchemilla L.	Alchemilla adscendens Rothm.
Rosaceae	Alchemilla L.	Alchemilla aemula Juz.
Rosaceae	Alchemilla L.	Alchemilla aenostipula Juz.
Rosaceae	Alchemilla L.	Alchemilla aequidens Pawl.
Rosaceae	Alchemilla L.	Alchemilla aggregata Buser
Rosaceae	Alchemilla L.	Alchemilla akdoganica Kalheber
Rosaceae	Alchemilla L.	Alchemilla aksharmae Panigrahi & K.M.Purohit
Rosaceae	Alchemilla L.	Alchemilla alba S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla albanica Rothm.
Rosaceae	Alchemilla L.	Alchemilla albinervia S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla alexandrae Juz.
Rosaceae	Alchemilla L.	Alchemilla alexandri Juz.
Rosaceae	Alchemilla L.	Alchemilla alneti S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla alpestris Hayek
Rosaceae	Alchemilla L.	Alchemilla alpigena Buser
Rosaceae	Alchemilla L.	Alchemilla alpina L.
Rosaceae	Alchemilla L.	Alchemilla alpina Neilr.
Rosaceae	Alchemilla L.	Alchemilla alpina Schinz & R.Keller
Rosaceae	Alchemilla L.	Alchemilla alpina Willk.
Rosaceae	Alchemilla L.	Alchemilla alpinula S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla altaica Juz.
Rosaceae	Alchemilla L.	Alchemilla amani Rothm.
Rosaceae	Alchemilla L.	Alchemilla amardica Rothm.
Rosaceae	Alchemilla L.	Alchemilla amauroptera Plocek
Rosaceae	Alchemilla L.	Alchemilla amblyodes Plocek
Rosaceae	Alchemilla L.	Alchemilla amicorum Pawl.
Rosaceae	Alchemilla L.	Alchemilla amoena (Czeczott) Rothm.
Rosaceae	Alchemilla L.	Alchemilla amphiargyrea Buser
Rosaceae	Alchemilla L.	Alchemilla amphibola Buser
Rosaceae	Alchemilla L.	Alchemilla amphipsila Juz.
Rosaceae	Alchemilla L.	Alchemilla amphisericea Buser
Rosaceae	Alchemilla L.	Alchemilla amphisericea Buser ex Jaquet
Rosaceae	Alchemilla L.	Alchemilla anceps Plocek
Rosaceae	Alchemilla L.	Alchemilla ancerensis Kalheber
Rosaceae	Alchemilla L.	Alchemilla andringitrensis R.Vig. & De Wild.
Rosaceae	Alchemilla L.	Alchemilla angustata S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla angustifolia Buser
Rosaceae	Alchemilla L.	Alchemilla angustiserrata S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla animosa Plocek
Rosaceae	Alchemilla L.	Alchemilla anisiaca Wettst.
Rosaceae	Alchemilla L.	Alchemilla anisopoda Juz.
Rosaceae	Alchemilla L.	Alchemilla antiropata S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla apbanoides Mutis ex L & f.
Rosaceae	Alchemilla L.	Alchemilla aperta Juz.
Rosaceae	Alchemilla L.	Alchemilla appressipila Juz.
Rosaceae	Alchemilla L.	Alchemilla aranica S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla arbiculata Ruiz & Pav.
Rosaceae	Alchemilla L.	Alchemilla argentidens Buser
Rosaceae	Alchemilla L.	Alchemilla argutiserrata H.Lindb. ex Juz.
Rosaceae	Alchemilla L.	Alchemilla argyrophylla Oliv.
Rosaceae	Alchemilla L.	Alchemilla argyrophylla T.C.E.Fr.
Rosaceae	Alchemilla L.	Alchemilla armeniaca Rothm.
Rosaceae	Alchemilla L.	Alchemilla aroanica (Buser) Rothm.
Rosaceae	Alchemilla L.	Alchemilla aspera Plocek
Rosaceae	Alchemilla L.	Alchemilla asteroantha Rothm.
Rosaceae	Alchemilla L.	Alchemilla atlantica H.Lindb.
Rosaceae	Alchemilla L.	Alchemilla atriuscula S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla atropurpurea S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla atrovirens Buser ex Jaquet
Rosaceae	Alchemilla L.	Alchemilla aurata Juz.
Rosaceae	Alchemilla L.	Alchemilla auriculata Juz.
Rosaceae	Alchemilla L.	Alchemilla austroaltaica V.N.Tikhom.
Rosaceae	Alchemilla L.	Alchemilla austroitalica Brullo, Scelsi & G.Spampinato
Rosaceae	Alchemilla L.	Alchemilla ayazii Kalheber
Rosaceae	Alchemilla L.	Alchemilla ayderensis Kalheber
Rosaceae	Alchemilla L.	Alchemilla babiogorensis Pawl.
Rosaceae	Alchemilla L.	Alchemilla bachite Hochst. ex Engl., 1892
Rosaceae	Alchemilla L.	Alchemilla bakeri De Wild.
Rosaceae	Alchemilla L.	Alchemilla bakeri DeWild.
Rosaceae	Alchemilla L.	Alchemilla bakurianica Sosn.
Rosaceae	Alchemilla L.	Alchemilla baltica Sam. ex Juz.
Rosaceae	Alchemilla L.	Alchemilla bamnii De Wild.
Rosaceae	Alchemilla L.	Alchemilla bandericensis Pawl.
Rosaceae	Alchemilla L.	Alchemilla barbatiflora Juz.
Rosaceae	Alchemilla L.	Alchemilla basakii Kalheber
Rosaceae	Alchemilla L.	Alchemilla benasquensis S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla bertiscea Martincic
Rosaceae	Alchemilla L.	Alchemilla betuletorum Rothm.
Rosaceae	Alchemilla L.	Alchemilla beyazoglui Kalheber
Rosaceae	Alchemilla L.	Alchemilla bezengiensis Czkalov
Rosaceae	Alchemilla L.	Alchemilla bicarpellata Rothm.
Rosaceae	Alchemilla L.	Alchemilla bifurcata Hils. & Bojer ex Baill.
Rosaceae	Alchemilla L.	Alchemilla bifurcata Hilsenb. & Bojer ex Baker
Rosaceae	Alchemilla L.	Alchemilla biquadrata Juz.
Rosaceae	Alchemilla L.	Alchemilla biradiata Ovcz.
Rosaceae	Alchemilla L.	Alchemilla bogumilii Pawlus
Rosaceae	Alchemilla L.	Alchemilla boleslai Pawl.
Rosaceae	Alchemilla L.	Alchemilla boluensis Menemen & Hamzaoglu
Rosaceae	Alchemilla L.	Alchemilla bolusii De Wild.
Rosaceae	Alchemilla L.	Alchemilla bolusii DeWild.
Rosaceae	Alchemilla L.	Alchemilla bombycina Rothm.
Rosaceae	Alchemilla L.	Alchemilla bonae S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla boratynskii Romo
Rosaceae	Alchemilla L.	Alchemilla borderei Buser ex S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla borealis Sam. ex Juz.
Rosaceae	Alchemilla L.	Alchemilla bornmuelleri Rothm.
Rosaceae	Alchemilla L.	Alchemilla brachetiana Buser
Rosaceae	Alchemilla L.	Alchemilla brachycodon Plocek
Rosaceae	Alchemilla L.	Alchemilla braun-blanquetii Pawl.
Rosaceae	Alchemilla L.	Alchemilla brevidens Juz.
Rosaceae	Alchemilla L.	Alchemilla breviloba H.Lindb.
Rosaceae	Alchemilla L.	Alchemilla brevituba Juz.
Rosaceae	Alchemilla L.	Alchemilla brownii DeWild.
Rosaceae	Alchemilla L.	Alchemilla brummittii K.M.Purohit & Panigrahi
Rosaceae	Alchemilla L.	Alchemilla bucovinensis Sychak
Rosaceae	Alchemilla L.	Alchemilla bukovinensis Sychak
Rosaceae	Alchemilla L.	Alchemilla bukovinensis Sytschak
Rosaceae	Alchemilla L.	Alchemilla bulgarica Rothm.
Rosaceae	Alchemilla L.	Alchemilla bungei Juz.
Rosaceae	Alchemilla L.	Alchemilla burgensis S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla bursensis Pawl.
Rosaceae	Alchemilla L.	Alchemilla buschii Juz.
Rosaceae	Alchemilla L.	Alchemilla buseri Maill.
Rosaceae	Alchemilla L.	Alchemilla buseriana Rothm.
Rosaceae	Alchemilla L.	Alchemilla cadinensis Aymerich & L.Sáez
Rosaceae	Alchemilla L.	Alchemilla calviflora Plocek
Rosaceae	Alchemilla L.	Alchemilla calvifolia Juz.
Rosaceae	Alchemilla L.	Alchemilla calviformis Ovcz.
Rosaceae	Alchemilla L.	Alchemilla camptopoda Juz.
Rosaceae	Alchemilla L.	Alchemilla canadensis Rothm.
Rosaceae	Alchemilla L.	Alchemilla canifolia S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla capensis Lam.
Rosaceae	Alchemilla L.	Alchemilla capillacea Juz.
Rosaceae	Alchemilla L.	Alchemilla carinthiaca S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla carniolica (Paulin) Fritsch
Rosaceae	Alchemilla L.	Alchemilla cartalinica Juz.
Rosaceae	Alchemilla L.	Alchemilla cartilaginea Rothm.
Rosaceae	Alchemilla L.	Alchemilla cashmeriana Rothm.
Rosaceae	Alchemilla L.	Alchemilla catachnoa Rothm.
Rosaceae	Alchemilla L.	Alchemilla catalaunica Rothm.
Rosaceae	Alchemilla L.	Alchemilla cataractarum S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla caucasica Buser
Rosaceae	Alchemilla L.	Alchemilla cavillieri (Burnat) Pignatti
Rosaceae	Alchemilla L.	Alchemilla ceciliae Panigrahi & K.M.Purohit
Rosaceae	Alchemilla L.	Alchemilla cecilii Panigrahi & K.M.Purohit
Rosaceae	Alchemilla L.	Alchemilla ceroniana Buser
Rosaceae	Alchemilla L.	Alchemilla chalarodesma Plocek
Rosaceae	Alchemilla L.	Alchemilla changaica V.N.Tikhom.
Rosaceae	Alchemilla L.	Alchemilla charbonneliana Buser ex Charb.
Rosaceae	Alchemilla L.	Alchemilla charbonnelliana Buser
Rosaceae	Alchemilla L.	Alchemilla chatiparensis Czkalov
Rosaceae	Alchemilla L.	Alchemilla cheirochlora Juz.
Rosaceae	Alchemilla L.	Alchemilla chevalieri DeWild.
Rosaceae	Alchemilla L.	Alchemilla chilitricha Plocek
Rosaceae	Alchemilla L.	Alchemilla chionophila Juz.
Rosaceae	Alchemilla L.	Alchemilla chirophylla Buser
Rosaceae	Alchemilla L.	Alchemilla chlorosericea (Buser) Juz.
Rosaceae	Alchemilla L.	Alchemilla chthamalea Rothm.
Rosaceae	Alchemilla L.	Alchemilla cimilensis Kalheber
Rosaceae	Alchemilla L.	Alchemilla ciminensis Pawl.
Rosaceae	Alchemilla L.	Alchemilla cinerea Buser
Rosaceae	Alchemilla L.	Alchemilla circassica Juz.
Rosaceae	Alchemilla L.	Alchemilla circularis Juz.
Rosaceae	Alchemilla L.	Alchemilla circumdentata Juz.
Rosaceae	Alchemilla L.	Alchemilla citrina S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla colombiana Dammer
Rosaceae	Alchemilla L.	Alchemilla colorata Buser
Rosaceae	Alchemilla L.	Alchemilla colura Hilliard
Rosaceae	Alchemilla L.	Alchemilla commixta Juz.
Rosaceae	Alchemilla L.	Alchemilla compactilis Juz.
Rosaceae	Alchemilla L.	Alchemilla compta Buser
Rosaceae	Alchemilla L.	Alchemilla condensa S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla confertula Juz.
Rosaceae	Alchemilla L.	Alchemilla conglobata H.Lindb.
Rosaceae	Alchemilla L.	Alchemilla conglomerata F.W.Schmidt, 1794
Rosaceae	Alchemilla L.	Alchemilla conjuncta Bab.
Rosaceae	Alchemilla L.	Alchemilla connivens Buser
Rosaceae	Alchemilla L.	Alchemilla connivens Buser ex C.DC.
Rosaceae	Alchemilla L.	Alchemilla consobrina Juz.
Rosaceae	Alchemilla L.	Alchemilla contractilis (Plocek) S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla controversa Buser
Rosaceae	Alchemilla L.	Alchemilla corcontica Plocek
Rosaceae	Alchemilla L.	Alchemilla coriacea Buser
Rosaceae	Alchemilla L.	Alchemilla coruscans Buser
Rosaceae	Alchemilla L.	Alchemilla crassa (Plocek) Plocek
Rosaceae	Alchemilla L.	Alchemilla crassicaulis Juz.
Rosaceae	Alchemilla L.	Alchemilla crebridens Juz.
Rosaceae	Alchemilla L.	Alchemilla crenulata S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla crinita Buser
Rosaceae	Alchemilla L.	Alchemilla croatica Gand.
Rosaceae	Alchemilla L.	Alchemilla cryptantha Steud. ex A.Rich.
Rosaceae	Alchemilla L.	Alchemilla cuatrecasasii Rothm.
Rosaceae	Alchemilla L.	Alchemilla cuncatrix Juz.
Rosaceae	Alchemilla L.	Alchemilla cunctatrix Juz.
Rosaceae	Alchemilla L.	Alchemilla cuneata Gaudin
Rosaceae	Alchemilla L.	Alchemilla curaica Juz.
Rosaceae	Alchemilla L.	Alchemilla curta S.E.Fröhner
Rosaceae	Alchemilla L.	Alchemilla curtiloba Buser ex Jaquet
Rosaceae	Alchemilla L.	Alchemilla curtischista Plocek
Rosaceae	Alchemilla L.	Alchemilla curvidens Juz.
Rosaceae	Alchemilla L.	Alchemilla cymatophylla Juz.
Rosaceae	Alchemilla L.	Alchemilla cyrtopleura Juz.
Rosaceae	Alchemilla L.	Alchemilla czamsinensis V.N.Tikhom.
Rosaceae	Alchemilla L.	Alchemilla czaryschensis Czkalov
Rosaceae	Alchemilla L.	Alchemilla czywczynensis Pawl.
Rosaceae	Alchemilla L.	Alchemilla dagestanica Juz.
Rosaceae	Alchemilla L.	Alchemilla daghestanica Juz.
Rosaceae	Alchemilla L.	Alchemilla damianicensis Pawl.
Rosaceae	Alchemilla L.	Alchemilla dasyclada Juz.
Rosaceae	Alchemilla L.	Alchemilla dasycrater Juz.
Rosaceae	Alchemilla L.	Alchemilla debilis Juz.
Rosaceae	Alchemilla L.	Alchemilla decalvans Juz.
